Date,Ir_Date,Qom,Tehran,Mazandaran,Alborz,Semnan,Golestan,Qazvin,Isfahan,Fars,Hormozgan,Kohgiluyeh and Boyer-Ahmad,Chahar Mahaal and Bakhtiari,Bushehr,Gilan,Ardabil,Azerbaijan_East,Azerbaijan_East.1,Kurdistan,Zanjan,Markazi,Hamadan,Khuzestan,Kermanshah,Lorestan,Ilam,Khorasan_ Razavi,Sistan and Baluchestan,Yazd,Khorasan_South,Kerman,Khorasan_North,new_cases,total_cases,new_deaths,total_deaths
2/19/2020,1398/11/30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
2/20/2020,1398/12/01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2
2/21/2020,1398/12/02,7,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,2,4
2/22/2020,1398/12/03,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,2,6
2/23/2020,1398/12/04,7,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,43,2,8
2/24/2020,1398/12/05,8,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,18,61,4,12
2/25/2020,1398/12/06,16,8,2,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,95,3,15
2/26/2020,1398/12/07,15,4,1,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,1,0,3,1,1,0,0,2,0,0,0,0,44,139,4,19
2/27/2020,1398/12/08,7,38,7,3,3,0,0,8,0,0,0,0,0,23,5,2,1,1,0,0,1,0,2,3,0,1,0,1,0,0,0,106,245,7,26
2/28/2020,1398/12/09,16,64,9,3,2,2,2,10,0,0,0,0,0,25,1,4,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,143,388,8,34
2/29/2020,1398/12/10,21,52,12,8,4,22,6,12,8,0,0,0,0,17,3,6,0,5,0,18,0,4,0,0,1,0,1,4,1,0,0,205,593,9,43
3/1/2020,1398/12/11,30,170,11,31,3,0,0,13,8,2,0,0,0,28,0,0,0,0,0,44,3,9,2,8,1,17,2,0,2,2,0,394,978,11,54
3/2/2020,1398/12/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,1501,11,54
3/3/2020,1398/12/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,2336,11,77
3/4/2020,1398/12/14,101,253,9,19,8,9,25,0,14,0,0,1,0,35,0,9,0,4,6,8,0,27,15,5,7,8,8,0,0,14,1,586,2922,15,92
3/5/2020,1398/12/15,32,56,50,61,22,4,31,118,19,2,0,8,3,80,17,10,5,6,7,31,6,1,0,11,0,53,5,0,9,0,2,591,3513,15,107
3/6/2020,1398/12/16,137,61,180,129,54,67,65,150,13,6,4,5,2,91,11,10,1,24,35,48,7,0,5,50,2,0,2,50,3,7,12,1234,4747,16,124
3/7/2020,1398/12/17,145,126,305,3,24,58,2,96,14,11,0,2,3,70,1,2,22,2,2,37,11,1,4,27,2,46,13,24,0,15,8,1076,5823,21,145
3/8/2020,1398/12/18,17,266,14,2,37,13,29,80,9,5,3,5,2,2,9,30,7,19,1,70,26,5,2,37,0,19,0,6,26,1,1,743,6566,49,194
3/9/2020,1398/12/19,27,140,13,0,45,0,40,37,29,17,0,5,1,28,22,22,29,3,15,54,0,4,11,7,16,29,0,3,7,5,10,595,7161,43,237
3/10/2020,1398/12/20,39,169,253,32,1,4,10,17,18,17,2,11,7,0,19,17,4,12,11,27,17,37,7,25,25,39,6,37,14,4,0,881,8042,54,291
3/11/2020,1398/12/21,53,256,32,45,63,9,27,170,19,10,0,1,0,5,1,29,27,6,22,31,7,17,8,9,6,34,4,23,15,18,11,958,9000,63,354
3/12/2020,1398/12/22,42,303,79,74,40,25,42,4,29,0,15,11,3,84,14,7,19,9,17,88,12,31,20,25,7,29,6,21,12,7,0,1075,10075,75,429
3/13/2020,1398/12/23,42,303,192,6,38,21,12,110,33,4,0,0,0,71,15,97,25,9,20,48,10,15,15,25,8,110,2,46,0,12,0,1289,11364,85,514
3/14/2020,1398/12/24,32,347,17,134,47,0,47,155,11,0,0,0,7,113,33,59,31,5,31,115,7,48,8,2,6,30,2,73,4,0,1,1365,12729,97,611
,total,920,2223,1206,598,409,234,385,1057,243,83,26,49,28,797,154,338,175,107,169,698,113,221,102,237,83,425,54,290,82,77,46,12729,12729,611,611